doctor_id,territory_id,rep_id,doctor_specialty
DR0111,T04,R016,GP
DR0112,T04,R017,Cardiologist
DR0113,T04,R018,Endocrinologist
DR0114,T04,R019,Neurologist
DR0115,T04,R020,GP
DR0116,T04,R016,Cardiologist
DR0117,T04,R017,Endocrinologist
DR0118,T04,R018,Neurologist
DR0119,T04,R019,GP
DR0120,T04,R020,Cardiologist
DR0121,T05,R021,GP
DR0122,T05,R022,Cardiologist
DR0123,T05,R023,Endocrinologist
DR0124,T05,R024,Neurologist
DR0125,T05,R025,GP
DR0126,T05,R021,Cardiologist
DR0127,T05,R022,Endocrinologist
DR0128,T05,R023,Neurologist
DR0129,T05,R024,GP
DR0130,T05,R025,Cardiologist
DR0131,T05,R021,Endocrinologist
DR0132,T05,R022,Neurologist
DR0133,T05,R023,GP
DR0134,T05,R024,Cardiologist
DR0135,T05,R025,Endocrinologist
DR0136,T05,R021,Neurologist
DR0137,T05,R022,GP
DR0138,T05,R023,Cardiologist
DR0139,T05,R024,Endocrinologist
DR0140,T05,R025,Neurologist
DR0141,T05,R021,GP
DR0142,T05,R022,Cardiologist
DR0143,T05,R023,Endocrinologist
DR0144,T05,R024,Neurologist
DR0145,T05,R025,GP
DR0146,T05,R021,Cardiologist
DR0147,T05,R022,Endocrinologist
DR0148,T05,R023,Neurologist
DR0149,T05,R024,GP
DR0150,T05,R025,Cardiologist
DR0151,T06,R026,GP
DR0152,T06,R027,Cardiologist
DR0153,T06,R028,Endocrinologist
DR0154,T06,R029,Neurologist
DR0155,T06,R030,GP
DR0156,T06,R026,Cardiologist
DR0157,T06,R027,Endocrinologist
DR0158,T06,R028,Neurologist
DR0159,T06,R029,GP
DR0160,T06,R030,Cardiologist
DR0161,T06,R026,Endocrinologist
DR0162,T06,R027,Neurologist
DR0163,T06,R028,GP
DR0164,T06,R029,Cardiologist
DR0165,T06,R030,Endocrinologist
DR0166,T06,R026,Neurologist
DR0167,T06,R027,GP
DR0168,T06,R028,Cardiologist
DR0169,T06,R029,Endocrinologist
DR0170,T06,R030,Neurologist
DR0171,T06,R026,GP
DR0172,T06,R027,Cardiologist
DR0173,T06,R028,Endocrinologist
DR0174,T06,R029,Neurologist
DR0175,T06,R030,GP
DR0176,T06,R026,Cardiologist
DR0177,T06,R027,Endocrinologist
DR0178,T06,R028,Neurologist
DR0179,T06,R029,GP
DR0180,T06,R030,Cardiologist
DR0181,T07,R031,GP
DR0182,T07,R032,Cardiologist
DR0183,T07,R033,Endocrinologist
DR0184,T07,R034,Neurologist
DR0185,T07,R035,GP
DR0186,T07,R031,Cardiologist
DR0187,T07,R032,Endocrinologist
DR0188,T07,R033,Neurologist
DR0189,T07,R034,GP
DR0190,T07,R035,Cardiologist
DR0191,T07,R031,Endocrinologist
DR0192,T07,R032,Neurologist
DR0193,T07,R033,GP
DR0194,T07,R034,Cardiologist
DR0195,T07,R035,Endocrinologist
DR0196,T07,R031,Neurologist
DR0197,T07,R032,GP
DR0198,T07,R033,Cardiologist
DR0199,T07,R034,Endocrinologist
DR0200,T07,R035,Neurologist
DR0201,T07,R031,GP
DR0202,T07,R032,Cardiologist
DR0203,T07,R033,Endocrinologist
DR0204,T07,R034,Neurologist
DR0205,T07,R035,GP
DR0206,T07,R031,Cardiologist
DR0207,T07,R032,Endocrinologist
DR0208,T07,R033,Neurologist
DR0209,T07,R034,GP
DR0210,T07,R035,Cardiologist
DR0211,T08,R036,GP
DR0212,T08,R037,Cardiologist
DR0213,T08,R038,Endocrinologist
DR0214,T08,R039,Neurologist
DR0215,T08,R040,GP
DR0216,T08,R036,Cardiologist
DR0217,T08,R037,Endocrinologist
DR0218,T08,R038,Neurologist
DR0219,T08,R039,GP
DR0220,T08,R040,Cardiologist
DR0221,T08,R036,Endocrinologist
DR0222,T08,R037,Neurologist
DR0223,T08,R038,GP
DR0224,T08,R039,Cardiologist
DR0225,T08,R040,Endocrinologist
DR0226,T08,R036,Neurologist
DR0227,T08,R037,GP
DR0228,T08,R038,Cardiologist
DR0229,T08,R039,Endocrinologist
DR0230,T08,R040,Neurologist
DR0231,T08,R036,GP
DR0232,T08,R037,Cardiologist
DR0233,T08,R038,Endocrinologist
DR0234,T08,R039,Neurologist
DR0235,T08,R040,GP
DR0236,T08,R036,Cardiologist
DR0237,T08,R037,Endocrinologist
DR0238,T08,R038,Neurologist
DR0239,T08,R039,GP
DR0240,T08,R040,Cardiologist
DR0241,T09,R041,GP
DR0242,T09,R042,Cardiologist
DR0243,T09,R043,Endocrinologist
DR0244,T09,R044,Neurologist
DR0245,T09,R045,GP
DR0246,T09,R041,Cardiologist
DR0247,T09,R042,Endocrinologist
DR0248,T09,R043,Neurologist
DR0249,T09,R044,GP
DR0250,T09,R045,Cardiologist
DR0251,T09,R041,Endocrinologist
DR0252,T09,R042,Neurologist
DR0253,T09,R043,GP
DR0254,T09,R044,Cardiologist
DR0255,T09,R045,Endocrinologist
DR0256,T09,R041,Neurologist
DR0257,T09,R042,GP
DR0258,T09,R043,Cardiologist
DR0259,T09,R044,Endocrinologist
DR0260,T09,R045,Neurologist
DR0261,T09,R041,GP
DR0262,T09,R042,Cardiologist
DR0263,T09,R043,Endocrinologist
DR0264,T09,R044,Neurologist
DR0265,T09,R045,GP
DR0266,T09,R041,Cardiologist
DR0267,T09,R042,Endocrinologist
DR0268,T09,R043,Neurologist
DR0269,T09,R044,GP
DR0270,T09,R045,Cardiologist
DR0271,T10,R046,GP
DR0272,T10,R047,Cardiologist
DR0273,T10,R048,Endocrinologist
DR0274,T10,R049,Neurologist
DR0275,T10,R050,GP
DR0276,T10,R046,Cardiologist
DR0277,T10,R047,Endocrinologist
DR0278,T10,R048,Neurologist
DR0279,T10,R049,GP
DR0280,T10,R050,Cardiologist
DR0281,T10,R046,Endocrinologist
DR0282,T10,R047,Neurologist
DR0283,T10,R048,GP
DR0284,T10,R049,Cardiologist
DR0285,T10,R050,Endocrinologist
DR0286,T10,R046,Neurologist
DR0287,T10,R047,GP
DR0288,T10,R048,Cardiologist
DR0289,T10,R049,Endocrinologist
DR0290,T10,R050,Neurologist
DR0291,T10,R046,GP
DR0292,T10,R047,Cardiologist
DR0293,T10,R048,Endocrinologist
DR0294,T10,R049,Neurologist
DR0295,T10,R050,GP
DR0296,T10,R046,Cardiologist
DR0297,T10,R047,Endocrinologist
DR0298,T10,R048,Neurologist
DR0299,T10,R049,GP
DR0300,T10,R050,Cardiologist
DR0301,T11,R051,GP
DR0302,T11,R052,Cardiologist
DR0303,T11,R053,Endocrinologist
DR0304,T11,R054,Neurologist
DR0305,T11,R055,GP
DR0306,T11,R051,Cardiologist
DR0307,T11,R052,Endocrinologist
DR0308,T11,R053,Neurologist
DR0309,T11,R054,GP
DR0310,T11,R055,Cardiologist
DR0311,T11,R051,Endocrinologist
DR0312,T11,R052,Neurologist
DR0313,T11,R053,GP
DR0314,T11,R054,Cardiologist
DR0315,T11,R055,Endocrinologist
DR0316,T11,R051,Neurologist
DR0317,T11,R052,GP
DR0318,T11,R053,Cardiologist
DR0319,T11,R054,Endocrinologist
DR0320,T11,R055,Neurologist
DR0321,T11,R051,GP
DR0322,T11,R052,Cardiologist
DR0323,T11,R053,Endocrinologist
DR0324,T11,R054,Neurologist
DR0325,T11,R055,GP
DR0326,T11,R051,Cardiologist
DR0327,T11,R052,Endocrinologist
DR0328,T11,R053,Neurologist
DR0329,T11,R054,GP
DR0330,T11,R055,Cardiologist
DR0331,T12,R056,GP
DR0332,T12,R057,Cardiologist
DR0333,T12,R058,Endocrinologist
DR0334,T12,R059,Neurologist
DR0335,T12,R060,GP
DR0336,T12,R056,Cardiologist
DR0337,T12,R057,Endocrinologist
DR0338,T12,R058,Neurologist
DR0339,T12,R059,GP
DR0340,T12,R060,Cardiologist
DR0341,T12,R056,Endocrinologist
DR0342,T12,R057,Neurologist
DR0343,T12,R058,GP
DR0344,T12,R059,Cardiologist
DR0345,T12,R060,Endocrinologist
DR0346,T12,R056,Neurologist
DR0347,T12,R057,GP
DR0348,T12,R058,Cardiologist
DR0349,T12,R059,Endocrinologist
DR0350,T12,R060,Neurologist
DR0351,T12,R056,GP
DR0352,T12,R057,Cardiologist
DR0353,T12,R058,Endocrinologist
DR0354,T12,R059,Neurologist
DR0355,T12,R060,GP
DR0356,T12,R056,Cardiologist
DR0357,T12,R057,Endocrinologist
DR0358,T12,R058,Neurologist
DR0359,T12,R059,GP
DR0360,T12,R060,Cardiologist
DR0361,T13,R061,GP
DR0362,T13,R062,Cardiologist
DR0363,T13,R063,Endocrinologist
DR0364,T13,R064,Neurologist
DR0365,T13,R065,GP
DR0366,T13,R061,Cardiologist
DR0367,T13,R062,Endocrinologist
DR0368,T13,R063,Neurologist
DR0369,T13,R064,GP
DR0370,T13,R065,Cardiologist
DR0371,T13,R061,Endocrinologist
DR0372,T13,R062,Neurologist
DR0373,T13,R063,GP
DR0374,T13,R064,Cardiologist
DR0375,T13,R065,Endocrinologist
DR0376,T13,R061,Neurologist
DR0377,T13,R062,GP
DR0378,T13,R063,Cardiologist
DR0379,T13,R064,Endocrinologist
DR0380,T13,R065,Neurologist
DR0381,T13,R061,GP
DR0382,T13,R062,Cardiologist
DR0383,T13,R063,Endocrinologist
DR0384,T13,R064,Neurologist
DR0385,T13,R065,GP
DR0386,T13,R061,Cardiologist
DR0387,T13,R062,Endocrinologist
DR0388,T13,R063,Neurologist
DR0389,T13,R064,GP
DR0390,T13,R065,Cardiologist
DR0391,T14,R066,GP
DR0392,T14,R067,Cardiologist
DR0393,T14,R068,Endocrinologist
DR0394,T14,R069,Neurologist
DR0395,T14,R070,GP
DR0396,T14,R066,Cardiologist
DR0397,T14,R067,Endocrinologist
DR0398,T14,R068,Neurologist
DR0399,T14,R069,GP
DR0400,T14,R070,Cardiologist
DR0401,T14,R066,Endocrinologist
DR0402,T14,R067,Neurologist
DR0403,T14,R068,GP
DR0404,T14,R069,Cardiologist
DR0405,T14,R070,Endocrinologist
DR0406,T14,R066,Neurologist
DR0407,T14,R067,GP
DR0408,T14,R068,Cardiologist
DR0409,T14,R069,Endocrinologist
DR0410,T14,R070,Neurologist
DR0411,T14,R066,GP
DR0412,T14,R067,Cardiologist
DR0413,T14,R068,Endocrinologist
DR0414,T14,R069,Neurologist
DR0415,T14,R070,GP
DR0416,T14,R066,Cardiologist
DR0417,T14,R067,Endocrinologist
DR0418,T14,R068,Neurologist
DR0419,T14,R069,GP
DR0420,T14,R070,Cardiologist
DR0421,T15,R071,GP
DR0422,T15,R072,Cardiologist
DR0423,T15,R073,Endocrinologist
DR0424,T15,R074,Neurologist
DR0425,T15,R075,GP
DR0426,T15,R071,Cardiologist
DR0427,T15,R072,Endocrinologist
DR0428,T15,R073,Neurologist
DR0429,T15,R074,GP
DR0430,T15,R075,Cardiologist
DR0431,T15,R071,Endocrinologist
DR0432,T15,R072,Neurologist
DR0433,T15,R073,GP
DR0434,T15,R074,Cardiologist
DR0435,T15,R075,Endocrinologist
DR0436,T15,R071,Neurologist
DR0437,T15,R072,GP
DR0438,T15,R073,Cardiologist
DR0439,T15,R074,Endocrinologist
DR0440,T15,R075,Neurologist
DR0441,T15,R071,GP
DR0442,T15,R072,Cardiologist
DR0443,T15,R073,Endocrinologist
DR0444,T15,R074,Neurologist
DR0445,T15,R075,GP
DR0446,T15,R071,Cardiologist
DR0447,T15,R072,Endocrinologist
DR0448,T15,R073,Neurologist
DR0449,T15,R074,GP
DR0450,T15,R075,Cardiologist
DR0451,T16,R076,GP
DR0452,T16,R077,Cardiologist
DR0453,T16,R078,Endocrinologist
DR0454,T16,R079,Neurologist
DR0455,T16,R080,GP
DR0456,T16,R076,Cardiologist
DR0457,T16,R077,Endocrinologist
DR0458,T16,R078,Neurologist
DR0459,T16,R079,GP
DR0460,T16,R080,Cardiologist
DR0461,T16,R076,Endocrinologist
DR0462,T16,R077,Neurologist
DR0463,T16,R078,GP
DR0464,T16,R079,Cardiologist
DR0465,T16,R080,Endocrinologist
DR0466,T16,R076,Neurologist
DR0467,T16,R077,GP
DR0468,T16,R078,Cardiologist
DR0469,T16,R079,Endocrinologist
DR0470,T16,R080,Neurologist
DR0471,T16,R076,GP
DR0472,T16,R077,Cardiologist
DR0473,T16,R078,Endocrinologist
DR0474,T16,R079,Neurologist
DR0475,T16,R080,GP
DR0476,T16,R076,Cardiologist
DR0477,T16,R077,Endocrinologist
DR0478,T16,R078,Neurologist
DR0479,T16,R079,GP
DR0480,T16,R080,Cardiologist
DR0481,T17,R081,GP
DR0482,T17,R082,Cardiologist
DR0483,T17,R083,Endocrinologist
DR0484,T17,R084,Neurologist
DR0485,T17,R085,GP
DR0486,T17,R081,Cardiologist
DR0487,T17,R082,Endocrinologist
DR0488,T17,R083,Neurologist
DR0489,T17,R084,GP
DR0490,T17,R085,Cardiologist
DR0491,T17,R081,Endocrinologist
DR0492,T17,R082,Neurologist
DR0493,T17,R083,GP
DR0494,T17,R084,Cardiologist
DR0495,T17,R085,Endocrinologist
DR0496,T17,R081,Neurologist
DR0497,T17,R082,GP
DR0498,T17,R083,Cardiologist
DR0499,T17,R084,Endocrinologist
DR0500,T17,R085,Neurologist
DR0501,T17,R081,GP
DR0502,T17,R082,Cardiologist
DR0503,T17,R083,Endocrinologist
DR0504,T17,R084,Neurologist
DR0505,T17,R085,GP
DR0506,T17,R081,Cardiologist
DR0507,T17,R082,Endocrinologist
DR0508,T17,R083,Neurologist
DR0509,T17,R084,GP
DR0510,T17,R085,Cardiologist
DR0511,T18,R086,GP
DR0512,T18,R087,Cardiologist
DR0513,T18,R088,Endocrinologist
DR0514,T18,R089,Neurologist
DR0515,T18,R090,GP
DR0516,T18,R086,Cardiologist
DR0517,T18,R087,Endocrinologist
DR0518,T18,R088,Neurologist
DR0519,T18,R089,GP
DR0520,T18,R090,Cardiologist
DR0521,T18,R086,Endocrinologist
DR0522,T18,R087,Neurologist
DR0523,T18,R088,GP
DR0524,T18,R089,Cardiologist
DR0525,T18,R090,Endocrinologist
DR0526,T18,R086,Neurologist
DR0527,T18,R087,GP
DR0528,T18,R088,Cardiologist
DR0529,T18,R089,Endocrinologist
DR0530,T18,R090,Neurologist
DR0531,T18,R086,GP
DR0532,T18,R087,Cardiologist
DR0533,T18,R088,Endocrinologist
DR0534,T18,R089,Neurologist
DR0535,T18,R090,GP
DR0536,T18,R086,Cardiologist
DR0537,T18,R087,Endocrinologist
DR0538,T18,R088,Neurologist
DR0539,T18,R089,GP
DR0540,T18,R090,Cardiologist
DR0541,T19,R091,GP
DR0542,T19,R092,Cardiologist
DR0543,T19,R093,Endocrinologist
DR0544,T19,R094,Neurologist
DR0545,T19,R095,GP
DR0546,T19,R091,Cardiologist
DR0547,T19,R092,Endocrinologist
DR0548,T19,R093,Neurologist
DR0549,T19,R094,GP
DR0550,T19,R095,Cardiologist
DR0551,T19,R091,Endocrinologist
DR0552,T19,R092,Neurologist
DR0553,T19,R093,GP
DR0554,T19,R094,Cardiologist
DR0555,T19,R095,Endocrinologist
DR0556,T19,R091,Neurologist
DR0557,T19,R092,GP
DR0558,T19,R093,Cardiologist
DR0559,T19,R094,Endocrinologist
DR0560,T19,R095,Neurologist
DR0561,T19,R091,GP
DR0562,T19,R092,Cardiologist
DR0563,T19,R093,Endocrinologist
DR0564,T19,R094,Neurologist
DR0565,T19,R095,GP
DR0566,T19,R091,Cardiologist
DR0567,T19,R092,Endocrinologist
DR0568,T19,R093,Neurologist
DR0569,T19,R094,GP
DR0570,T19,R095,Cardiologist
DR0571,T20,R096,GP
DR0572,T20,R097,Cardiologist
DR0573,T20,R098,Endocrinologist
DR0574,T20,R099,Neurologist
DR0575,T20,R100,GP
DR0576,T20,R096,Cardiologist
DR0577,T20,R097,Endocrinologist
DR0578,T20,R098,Neurologist
DR0579,T20,R099,GP
DR0580,T20,R100,Cardiologist
DR0581,T20,R096,Endocrinologist
DR0582,T20,R097,Neurologist
DR0583,T20,R098,GP
DR0584,T20,R099,Cardiologist
DR0585,T20,R100,Endocrinologist
DR0586,T20,R096,Neurologist
DR0587,T20,R097,GP
DR0588,T20,R098,Cardiologist
DR0589,T20,R099,Endocrinologist
DR0590,T20,R100,Neurologist
DR0591,T20,R096,GP
DR0592,T20,R097,Cardiologist
DR0593,T20,R098,Endocrinologist
DR0594,T20,R099,Neurologist
DR0595,T20,R100,GP
DR0596,T20,R096,Cardiologist
DR0597,T20,R097,Endocrinologist
DR0598,T20,R098,Neurologist
DR0599,T20,R099,GP
DR0600,T20,R100,Cardiologist
